BG_num,ecc_norm,target_loc,n_fix,scanpath
8,5.0,"[214, 28]",14,"[[313, 313], [115, 199], [478, 370], [544, 484], [346, 598], [379, 199], [379, 427], [379, 427], [115, 427], [412, 256], [313, 427], [115, 85], [214, 28], [214, 28]]"
8,5.0,"[280, 28]",5,"[[313, 313], [445, 199], [280, 28], [280, 28], [280, 28]]"
8,5.0,"[346, 28]",5,"[[313, 313], [445, 541], [445, 541], [346, 28], [346, 28]]"
8,5.0,"[412, 28]",9,"[[313, 313], [181, 199], [214, 142], [247, 427], [511, 85], [412, 28], [412, 28], [412, 28], [412, 28]]"
8,5.0,"[115, 85]",6,"[[313, 313], [379, 541], [511, 541], [148, 142], [115, 85], [115, 85]]"
8,4.0,"[181, 85]",8,"[[313, 313], [280, 370], [280, 370], [511, 313], [412, 598], [214, 142], [181, 85], [181, 85]]"
8,4.0,"[247, 85]",7,"[[313, 313], [148, 370], [445, 313], [511, 427], [379, 541], [247, 85], [247, 85]]"
8,4.0,"[313, 85]",7,"[[313, 313], [82, 256], [115, 313], [346, 28], [313, 85], [313, 85], [313, 85]]"
8,4.0,"[379, 85]",12,"[[313, 313], [16, 370], [148, 370], [214, 28], [445, 427], [445, 427], [544, 370], [280, 370], [115, 199], [379, 85], [379, 85], [379, 85]]"
8,4.0,"[445, 85]",10,"[[313, 313], [82, 370], [280, 142], [313, 85], [577, 427], [610, 370], [445, 85], [445, 85], [445, 85], [445, 85]]"
8,5.0,"[511, 85]",11,"[[313, 313], [280, 484], [445, 199], [148, 484], [346, 256], [115, 199], [445, 541], [379, 85], [511, 85], [511, 85], [511, 85]]"
8,5.0,"[82, 142]",14,"[[313, 313], [412, 142], [82, 142], [181, 199], [247, 541], [511, 541], [544, 142], [49, 427], [280, 142], [247, 199], [379, 427], [82, 142], [82, 142], [82, 142]]"
8,4.0,"[148, 142]",11,"[[313, 313], [379, 427], [280, 142], [445, 199], [445, 85], [115, 541], [148, 142], [214, 598], [148, 142], [148, 142], [148, 142]]"
8,3.0,"[214, 142]",4,"[[313, 313], [214, 256], [214, 142], [214, 142]]"
8,3.0,"[280, 142]",6,"[[313, 313], [247, 85], [313, 85], [313, 85], [280, 142], [280, 142]]"
8,3.0,"[346, 142]",6,"[[313, 313], [346, 142], [346, 142], [346, 142], [346, 142], [346, 142]]"
8,3.0,"[412, 142]",5,"[[313, 313], [511, 427], [445, 85], [412, 142], [412, 142]]"
8,4.0,"[478, 142]",16,"[[313, 313], [346, 370], [445, 85], [280, 142], [544, 256], [412, 598], [181, 541], [82, 142], [82, 256], [214, 28], [544, 256], [478, 142], [280, 484], [478, 142], [478, 142], [478, 142]]"
8,5.0,"[544, 142]",9,"[[313, 313], [280, 256], [478, 256], [280, 598], [445, 541], [214, 256], [82, 484], [544, 142], [544, 142]]"
8,5.0,"[49, 199]",5,"[[313, 313], [82, 256], [49, 199], [49, 199], [49, 199]]"
8,4.0,"[115, 199]",6,"[[313, 313], [148, 370], [379, 85], [181, 199], [115, 199], [115, 199]]"
8,3.0,"[181, 199]",7,"[[313, 313], [313, 427], [445, 199], [544, 370], [181, 199], [181, 199], [181, 199]]"
8,2.0,"[247, 199]",5,"[[313, 313], [412, 484], [346, 484], [247, 199], [247, 199]]"
8,2.0,"[313, 199]",7,"[[313, 313], [214, 484], [181, 199], [412, 28], [313, 199], [313, 199], [313, 199]]"
8,2.0,"[379, 199]",4,"[[313, 313], [379, 199], [379, 199], [379, 199]]"
8,3.0,"[445, 199]",6,"[[313, 313], [82, 484], [346, 370], [346, 370], [445, 199], [445, 199]]"
8,4.0,"[511, 199]",4,"[[313, 313], [445, 313], [511, 199], [511, 199]]"
8,5.0,"[577, 199]",5,"[[313, 313], [280, 256], [511, 313], [577, 199], [577, 199]]"
8,5.0,"[16, 256]",10,"[[313, 313], [478, 370], [379, 427], [544, 370], [346, 28], [181, 85], [148, 142], [16, 256], [16, 256], [16, 256]]"
8,4.0,"[82, 256]",6,"[[313, 313], [247, 427], [82, 256], [82, 256], [82, 256], [82, 256]]"
8,3.0,"[148, 256]",3,"[[313, 313], [148, 256], [148, 256]]"
